title,year,synopsis
Silverton Siege,2022,"After a failed sabotage mission, a trio of anti-apartheid freedom fighters ends up in a tense bank hostage situation. Based on a true story."
The Employer and the Employee,2021,A young man and his new hire bond over their respective families until an unexpected tragedy sends them all into a dangerous downward spiral.
A song for you,2018,"In Catalonia, a law student with musical aspirations becomes involved in a love triangle with two friends divided by strong political convictions."
Hold Tight,2022,"When a young man goes missing soon after his friend dies, life in a tight-knit, affluent Warsaw suburb slowly unravels, exposing secrets and lies."
Heartstopper,2022,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.
He&#39;s Expecting,2022,"When a successful ad executive who&#39;s got it all figured out becomes pregnant, he&#39;s forced to confront social inequities he&#39;d never considered before."
Yakuza Princess,2021,"Upon discovering she&#39;s the heiress to a prominent Yakuza crime family, a young woman in São Paulo meets a man with amnesia — and a mysterious artifact."
Yakamoz S-245,2022,"After disaster strikes Earth, a marine biologist on a submarine research mission must fight to survive with the crew as a conspiracy comes to light."
The Turning Point,2022,A slacker who does his best to avoid confrontation strikes up an unlikely friendship with a dangerous thug who suddenly forces his way into his life.
Conversations with a Killer: The John Wayne Gacy Tapes,2022,He dined with the powerful. He preyed on the vulnerable. Beneath a smiling exterior was the horrifying darkness of a sadistic serial killer.
Battle Kitty,2022,"Kitty and Orc brawl with monsters, beat out rivals — and need your help to move through Battle Island and become champion in this interactive adventure!"
Cry Babies Magic Tears,2018,Little babies with big personalities explore a magical world where their tears of love and happiness give them special powers.
Inherit the Viper,2019,"When a small-town opioid dealer longs to go straight, he must contend with his siblings who want to keep the family business going."
Amalgama,2020,"Three men and a woman, all dentists with problematic personal lives, attend a conference in the Mexican Riviera and spend a memorable two days together."
Man of God,2022,Samuel forsakes his harsh religious upbringing to live his own life — but his soul remains caught between the world and the faith he left behind.
The Taming of the Shrewd,2022,"When a heartbroken scientist moves back home to start over, her scheming brother hires a handsome stranger to convince her to sell their land."
Strawberry Shortcake: Berry in the Big City,2021,Aspiring baker Strawberry Shortcake arrives in Big Apple City to get her big break — and have flan-tastic adventures with her new berry besties!
Smother-in-Law,2022,"Living with her family since the pandemic struck, the meddling Isadir does her best to disrupt the lives of her bumbling son and rival daughter-in-law."
Our Great National Parks,2022,"Narrated by former President Barack Obama, this stunning docuseries shines the spotlight on some of the planet&#39;s most spectacular national parks."
Choose or Die,2022,"Tempted by a chance to win unclaimed prize money, two friends reboot a mysterious 1980s video game and step into a surreal world of next-level terror."
Anatomy of a Scandal,2022,Sophie&#39;s privileged life as the wife of powerful politician James unravels when scandalous secrets surface — and he stands accused of a shocking crime.
The Creature Cases,2022,"Special agents Sam and Kit hop the globe with their sleuthing skills, science facts and cool gadgets to solve the animal kingdom&#39;s many mysteries."
Yaksha: Ruthless Operations,2022,"On assignment in a perilous city to inspect a Black Ops team and its notorious leader, an upstanding prosecutor steps into a deadly war between spies."
Metal Lords,2022,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods."
The In Between,2022,"After losing the love of her life in a tragic accident, a brokenhearted teen begins to believe that he&#39;s sending her signs from beyond the grave."
Dancing on Glass,2022,"When immense pressure threatens a ballerina in a new lead role, she and another dancer escape into a friendship that isolates them from the real world."
